25,30 
0,39,37
1,755,36
2,710,112
3,378,146
4,448,172
5,657,164
6,542,222
7,635,237
8,190,231
9,266,261
10,350,282
11,438,290
12,526,292
13,252,352
14,435,371
15,577,375
16,189,474
17,266,451
18,400,445
19,479,439
20,557,462
21,266,522
22,327,487
23,395,520
24,448,558
0,9,1892
1,2,242
2,5,305
5,7,397
5,6,704
3,4,668
3,9,1145
4,6,137
4,11,695
6,12,674
8,9,216
9,10,676
10,11,511
11,12,349
10,13,842
11,14,534
12,15,651
13,16,1100
13,17,967
14,18,409
15,19,825
16,17,639
17,18,902
18,19,367
19,20,622
17,22,607
18,22,672
22,21,255
18,23,675
23,24,140
